#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:Horse crab sunder 36" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:Horse crab sunder 36" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:Horse crab sunder 36" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.Horse crab sunder 36" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:Horse crab sunder 36" name="distribution" x="@birthRate.t:Horse crab sunder 36">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Horse crab sunder 36" name="distribution">
#            <parameter id="gammaShape.s:Horse crab sunder 36" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.3" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Horse crab sunder 36" id="treeLikelihood.Horse crab sunder 36" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Horse crab sunder 36">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Horse crab sunder 36" shape="@gammaShape.s:Horse crab sunder 36" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Horse crab sunder 36" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Horse crab sunder 36" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:Horse crab sunder 36" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Horse crab sunder 36" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Horse crab sunder 36" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate	gammaShape	mutationRate
36000	-1901.330125190058	-2024.182703240283	122.85257805022505	-2024.182703240283	0.1139926474432897	0.3801329022002359	122.85257805022505	78.26741562598353	0.24203062320825824	1.0
37000	-1907.7401409281629	-2025.1757529560184	117.43561202785546	-2025.1757529560184	0.12851010990039557	0.4309641085147047	117.43561202785546	107.00228727380058	0.24203062320825824	1.0
38000	-1901.3354203204178	-2019.7443044783465	118.40888415792864	-2019.7443044783465	0.12515748308859656	0.4191693005814018	118.40888415792864	61.643999854710465	0.24203062320825824	1.0
39000	-1901.3017988607528	-2023.9787980615458	122.67699920079309	-2023.9787980615458	0.09817957861477417	0.3833153651431817	122.67699920079309	104.25187250418841	0.24203062320825824	1.0
40000	-1907.5111772557373	-2032.020069899097	124.50889264335983	-2032.020069899097	0.08989734583253593	0.3665092899172257	124.50889264335983	90.06249931880372	0.24203062320825824	1.0
41000	-1907.6108186846998	-2028.3687208039503	120.75790211925046	-2028.3687208039503	0.10675681511413324	0.40837164640424967	120.75790211925046	82.53948693729643	0.24203062320825824	1.0
42000	-1922.259279568353	-2035.269706637755	113.01042706940206	-2035.269706637755	0.1469069726581104	0.49926098110655237	113.01042706940206	85.50925427802242	0.24203062320825824	1.0
43000	-1901.4156203807602	-2024.249072127516	122.83345174675584	-2024.249072127516	0.10961516915916006	0.3848041235760573	122.83345174675584	87.27437007100744	0.24203062320825824	1.0
44000	-1907.9469975768618	-2031.85145731433	123.90445973746809	-2031.85145731433	0.09634614702213794	0.373062165420925	123.90445973746809	89.23997099489331	0.24203062320825824	1.0
45000	-1903.6977860026582	-2024.858182924993	121.16039692233481	-2024.858182924993	0.10787985256638191	0.4039805135745828	121.16039692233481	87.04615965589059	0.24203062320825824	1.0
46000	-1905.3548168692585	-2026.738340379527	121.38352351026857	-2026.738340379527	0.11034587229306908	0.3945283849281414	121.38352351026857	106.26003903538901	0.24203062320825824	1.0
47000	-1908.3487212555021	-2033.7526263518193	125.40390509631719	-2033.7526263518193	0.09523495729026636	0.3577671981841191	125.40390509631719	100.04228888161636	0.24203062320825824	1.0
48000	-1913.8273480578457	-2028.610173274345	114.78282521649929	-2028.610173274345	0.12724047647094577	0.47228570242201406	114.78282521649929	92.31878532745385	0.24203062320825824	1.0
49000	-1910.140423706576	-2034.6108613102992	124.47043760372314	-2034.6108613102992	0.09929393623991113	0.3640121046097065	124.47043760372314	110.10967218490086	0.24203062320825824	1.0
